#wvl [um]        modulation
5.5              0.00335340142     
5.49697666       0.0034506377      
5.49395665       0.00341065398     
5.49093995       0.00346120023     
5.48792656       0.00343936697     
5.48491648       0.00346655004     
5.4819097        0.00343656083     
5.47890621       0.00351652462     
5.47590601       0.00338683678     
5.4729091        0.00338566184     
5.46991546       0.00342472194     
5.4669251        0.00349634243     
5.46393801       0.00351835127     
5.46095418       0.0033388508      
5.4579736        0.0034138701      
5.45499628       0.00346289874     
5.4520222        0.00343604167     
5.44905137       0.00341387662     
5.44608377       0.0034248034      
5.4431194        0.00347709386     
5.44015826       0.00342680944     
5.43720034       0.00341977566     
5.43424563       0.00342791963     
5.43129413       0.00341294657     
5.42834583       0.00347385106     
5.42540074       0.00344866151     
5.42245884       0.00353299269     
5.41952013       0.00345756959     
5.4165846        0.00343741883     
5.41365225       0.00342634644     
5.41072307       0.00348840993     
5.40779706       0.00343644941     
5.40487421       0.00336101042     
5.40195453       0.00337521286     
5.39903799       0.00342225521     
5.3961246        0.00342213363     
5.39321436       0.00338777349     
5.39030725       0.00338341863     
5.38740327       0.0034051074      
5.38450242       0.00340715459     
5.3816047        0.00345076263     
5.37871009       0.00340172052     
5.37581859       0.00343117683     
5.3729302        0.00345347888     
5.37004491       0.0034011975      
5.36716272       0.00340111594     
5.36428362       0.00342503365     
5.36140761       0.00340248087     
5.35853468       0.00347594166     
5.35566483       0.00339787911     
5.35279805       0.00349523551     
5.34993434       0.00351697395     
5.34707369       0.00336622854     
5.3442161        0.00345708577     
5.34136156       0.00335924121     
5.33851007       0.00341320026     
5.33566162       0.0033648019      
5.33281621       0.00340458211     
5.32997383       0.0034065597      
5.32713449       0.00339657751     
5.32429816       0.00340237544     
5.32146485       0.00343566848     
5.31863456       0.00339561967     
5.31580728       0.00340279932     
5.312983         0.00336576515     
5.31016172       0.00337626949     
5.30734343       0.00344590507     
5.30452814       0.00341931856     
5.30171583       0.00338298281     
5.2989065        0.00337645463     
5.29610014       0.00337961168     
5.29329676       0.00350356164     
5.29049634       0.0033611122      
5.28769889       0.00337835154     
5.28490439       0.00339724893     
5.28211285       0.00335673883     
5.27932425       0.00341715354     
5.27653859       0.00347925371     
5.27375587       0.00338707481     
5.27097609       0.00340987942     
5.26819923       0.00336227372     
5.2654253        0.00335105167     
5.26265429       0.00333461267     
5.2598862        0.00335999198     
5.25712101       0.00341971822     
5.25435873       0.00333441573     
5.25159935       0.00342762542     
5.24884287       0.00336387778     
5.24608928       0.00335662022     
5.24333858       0.00334979933     
5.24059076       0.00346389372     
5.23784582       0.00329836701     
5.23510375       0.00347775298     
5.23236455       0.00335188728     
5.22962822       0.00338471177     
5.22689475       0.00335146029     
5.22416413       0.00340301361     
5.22143637       0.00338700728     
5.21871145       0.00335335211     
5.21598938       0.0033621366      
5.21327014       0.00351233396     
5.21055374       0.00338306547     
5.20784017       0.00337689605     
5.20512942       0.00337555915     
5.20242149       0.00347106072     
5.19971638       0.00348660327     
5.19701408       0.00332149264     
5.19431459       0.00334992174     
5.1916179        0.00331286103     
5.18892401       0.00335390695     
