# Demo Filter 22
# Wavelenght (um)   Transmission
  1.53400000        0.00
  1.53428030        0.00
  1.53456066        0.00
  1.53484106        0.00
  1.53512152        0.00
  1.53540203        0.00
  1.53568259        0.00
  1.53596320        0.00
  1.53624386        0.00
  1.53652458        0.00
  1.53680534        0.00
  1.53708616        0.00
  1.53736703        0.00
  1.53764795        0.00
  1.53792892        0.00
  1.53820994        0.00
  1.53849101        0.00
  1.53877213        0.00
  1.53905331        1.00
  1.53933454        1.00
  1.53961582        1.00
  1.53989715        1.00
  1.54017853        1.00
  1.54045996        1.00
  1.54074144        1.00
  1.54102298        1.00
  1.54130457        1.00
  1.54158620        1.00
  1.54186789        1.00
  1.54214964        1.00
  1.54243143        1.00
  1.54271327        1.00
  1.54299517        1.00
  1.54327712        1.00
  1.54355911        1.00
  1.54384116        1.00
  1.54412327        1.00
  1.54440542        1.00
  1.54468762        1.00
  1.54496988        1.00
  1.54525219        1.00
  1.54553455        1.00
  1.54581696        1.00
  1.54609942        1.00
  1.54638194        1.00
  1.54666450        1.00
  1.54694712        1.00
  1.54722979        1.00
  1.54751251        1.00
  1.54779529        1.00
  1.54807811        1.00
  1.54836099        1.00
  1.54864391        1.00
  1.54892689        1.00
  1.54920992        1.00
  1.54949301        1.00
  1.54977614        1.00
  1.55005933        1.00
  1.55034257        1.00
  1.55062586        1.00
  1.55090920        1.00
  1.55119259        1.00
  1.55147604        1.00
  1.55175953        1.00
  1.55204308        1.00
  1.55232668        1.00
  1.55261034        1.00
  1.55289404        1.00
  1.55317780        1.00
  1.55346160        1.00
  1.55374546        1.00
  1.55402938        1.00
  1.55431334        1.00
  1.55459735        1.00
  1.55488142        1.00
  1.55516554        1.00
  1.55544971        1.00
  1.55573394        1.00
  1.55601821        1.00
  1.55630254        1.00
  1.55658692        1.00
  1.55687135        1.00
  1.55715583        0.00
  1.55744036        0.00
  1.55772495        0.00
  1.55800959        0.00
  1.55829428        0.00
  1.55857902        0.00
  1.55886382        0.00
  1.55914867        0.00
  1.55943357        0.00
  1.55971852        0.00
  1.56000352        0.00
  1.56028857        0.00
  1.56057368        0.00
  1.56085884        0.00
  1.56114405        0.00
  1.56142932        0.00
  1.56171463        0.00
  1.56200000        0.00
