# Demo Filter 14
# Wavelenght (um)   Transmission
  1.38300000        0.00
  1.38328003        0.00
  1.38356012        0.00
  1.38384027        0.00
  1.38412047        0.00
  1.38440073        0.00
  1.38468104        0.00
  1.38496141        0.00
  1.38524184        0.00
  1.38552233        0.00
  1.38580287        0.00
  1.38608347        0.00
  1.38636412        0.00
  1.38664484        0.00
  1.38692561        0.00
  1.38720643        0.00
  1.38748732        0.00
  1.38776826        0.00
  1.38804925        1.00
  1.38833031        1.00
  1.38861142        1.00
  1.38889259        1.00
  1.38917381        1.00
  1.38945509        1.00
  1.38973643        1.00
  1.39001783        1.00
  1.39029928        1.00
  1.39058079        1.00
  1.39086236        1.00
  1.39114398        1.00
  1.39142566        1.00
  1.39170740        1.00
  1.39198919        1.00
  1.39227105        1.00
  1.39255295        1.00
  1.39283492        1.00
  1.39311694        1.00
  1.39339902        1.00
  1.39368116        1.00
  1.39396335        1.00
  1.39424561        1.00
  1.39452792        1.00
  1.39481028        1.00
  1.39509270        1.00
  1.39537518        1.00
  1.39565772        1.00
  1.39594032        1.00
  1.39622297        1.00
  1.39650568        1.00
  1.39678844        1.00
  1.39707127        1.00
  1.39735415        1.00
  1.39763709        1.00
  1.39792008        1.00
  1.39820313        1.00
  1.39848624        1.00
  1.39876941        1.00
  1.39905264        1.00
  1.39933592        1.00
  1.39961926        1.00
  1.39990265        1.00
  1.40018611        1.00
  1.40046962        1.00
  1.40075319        1.00
  1.40103681        1.00
  1.40132050        1.00
  1.40160424        1.00
  1.40188804        1.00
  1.40217189        1.00
  1.40245581        1.00
  1.40273978        1.00
  1.40302381        1.00
  1.40330789        1.00
  1.40359204        1.00
  1.40387624        1.00
  1.40416050        1.00
  1.40444481        1.00
  1.40472919        1.00
  1.40501362        1.00
  1.40529811        1.00
  1.40558265        1.00
  1.40586726        1.00
  1.40615192        0.00
  1.40643664        0.00
  1.40672142        0.00
  1.40700625        0.00
  1.40729114        0.00
  1.40757609        0.00
  1.40786110        0.00
  1.40814617        0.00
  1.40843129        0.00
  1.40871647        0.00
  1.40900171        0.00
  1.40928701        0.00
  1.40957236        0.00
  1.40985777        0.00
  1.41014324        0.00
  1.41042877        0.00
  1.41071436        0.00
  1.41100000        0.00
