# Demo Filter  7
# Wavelenght (um)   Transmission
  1.25200000        0.00
  1.25227974        0.00
  1.25255955        0.00
  1.25283942        0.00
  1.25311935        0.00
  1.25339934        0.00
  1.25367940        0.00
  1.25395952        0.00
  1.25423970        0.00
  1.25451994        0.00
  1.25480025        0.00
  1.25508062        0.00
  1.25536105        0.00
  1.25564154        0.00
  1.25592210        0.00
  1.25620272        0.00
  1.25648340        0.00
  1.25676415        0.00
  1.25704495        1.00
  1.25732582        1.00
  1.25760676        1.00
  1.25788775        1.00
  1.25816881        1.00
  1.25844993        1.00
  1.25873112        1.00
  1.25901237        1.00
  1.25929368        1.00
  1.25957505        1.00
  1.25985648        1.00
  1.26013798        1.00
  1.26041955        1.00
  1.26070117        1.00
  1.26098286        1.00
  1.26126461        1.00
  1.26154642        1.00
  1.26182830        1.00
  1.26211024        1.00
  1.26239224        1.00
  1.26267430        1.00
  1.26295643        1.00
  1.26323862        1.00
  1.26352088        1.00
  1.26380320        1.00
  1.26408558        1.00
  1.26436802        1.00
  1.26465053        1.00
  1.26493310        1.00
  1.26521573        1.00
  1.26549843        1.00
  1.26578119        1.00
  1.26606401        1.00
  1.26634689        1.00
  1.26662984        1.00
  1.26691285        1.00
  1.26719593        1.00
  1.26747907        1.00
  1.26776227        1.00
  1.26804554        1.00
  1.26832886        1.00
  1.26861226        1.00
  1.26889571        1.00
  1.26917923        1.00
  1.26946281        1.00
  1.26974646        1.00
  1.27003016        1.00
  1.27031394        1.00
  1.27059777        1.00
  1.27088167        1.00
  1.27116563        1.00
  1.27144966        1.00
  1.27173375        1.00
  1.27201790        1.00
  1.27230212        1.00
  1.27258640        1.00
  1.27287074        1.00
  1.27315515        1.00
  1.27343962        1.00
  1.27372415        1.00
  1.27400875        1.00
  1.27429341        1.00
  1.27457813        1.00
  1.27486292        1.00
  1.27514777        0.00
  1.27543269        0.00
  1.27571767        0.00
  1.27600271        0.00
  1.27628781        0.00
  1.27657298        0.00
  1.27685822        0.00
  1.27714352        0.00
  1.27742888        0.00
  1.27771430        0.00
  1.27799979        0.00
  1.27828534        0.00
  1.27857096        0.00
  1.27885664        0.00
  1.27914238        0.00
  1.27942819        0.00
  1.27971406        0.00
  1.28000000        0.00
