# Demo Filter 11
# Wavelenght (um)   Transmission
  1.32700000        0.00
  1.32727992        0.00
  1.32755989        0.00
  1.32783992        0.00
  1.32812002        0.00
  1.32840017        0.00
  1.32868038        0.00
  1.32896065        0.00
  1.32924098        0.00
  1.32952136        0.00
  1.32980181        0.00
  1.33008232        0.00
  1.33036288        0.00
  1.33064351        0.00
  1.33092419        0.00
  1.33120493        0.00
  1.33148574        0.00
  1.33176660        0.00
  1.33204752        1.00
  1.33232850        1.00
  1.33260954        1.00
  1.33289064        1.00
  1.33317179        1.00
  1.33345301        1.00
  1.33373429        1.00
  1.33401562        1.00
  1.33429702        1.00
  1.33457847        1.00
  1.33485999        1.00
  1.33514156        1.00
  1.33542319        1.00
  1.33570488        1.00
  1.33598664        1.00
  1.33626845        1.00
  1.33655032        1.00
  1.33683225        1.00
  1.33711424        1.00
  1.33739629        1.00
  1.33767839        1.00
  1.33796056        1.00
  1.33824279        1.00
  1.33852508        1.00
  1.33880742        1.00
  1.33908983        1.00
  1.33937229        1.00
  1.33965482        1.00
  1.33993740        1.00
  1.34022005        1.00
  1.34050275        1.00
  1.34078551        1.00
  1.34106834        1.00
  1.34135122        1.00
  1.34163416        1.00
  1.34191716        1.00
  1.34220023        1.00
  1.34248335        1.00
  1.34276653        1.00
  1.34304977        1.00
  1.34333307        1.00
  1.34361643        1.00
  1.34389985        1.00
  1.34418333        1.00
  1.34446687        1.00
  1.34475047        1.00
  1.34503413        1.00
  1.34531785        1.00
  1.34560163        1.00
  1.34588547        1.00
  1.34616937        1.00
  1.34645333        1.00
  1.34673735        1.00
  1.34702142        1.00
  1.34730556        1.00
  1.34758976        1.00
  1.34787402        1.00
  1.34815834        1.00
  1.34844272        1.00
  1.34872715        1.00
  1.34901165        1.00
  1.34929621        1.00
  1.34958083        1.00
  1.34986551        1.00
  1.35015025        0.00
  1.35043504        0.00
  1.35071990        0.00
  1.35100482        0.00
  1.35128980        0.00
  1.35157484        0.00
  1.35185994        0.00
  1.35214510        0.00
  1.35243032        0.00
  1.35271560        0.00
  1.35300094        0.00
  1.35328634        0.00
  1.35357180        0.00
  1.35385732        0.00
  1.35414290        0.00
  1.35442854        0.00
  1.35471424        0.00
  1.35500000        0.00
