# Demo Filter 26
# Wavelenght (um)   Transmission
  1.60900000        0.00
  1.60928042        0.00
  1.60956089        0.00
  1.60984141        0.00
  1.61012197        0.00
  1.61040259        0.00
  1.61068325        0.00
  1.61096397        0.00
  1.61124473        0.00
  1.61152554        0.00
  1.61180640        0.00
  1.61208731        0.00
  1.61236827        0.00
  1.61264927        0.00
  1.61293033        0.00
  1.61321144        0.00
  1.61349259        0.00
  1.61377379        0.00
  1.61405504        1.00
  1.61433635        1.00
  1.61461770        1.00
  1.61489909        1.00
  1.61518054        1.00
  1.61546204        1.00
  1.61574359        1.00
  1.61602518        1.00
  1.61630683        1.00
  1.61658852        1.00
  1.61687026        1.00
  1.61715205        1.00
  1.61743389        1.00
  1.61771578        1.00
  1.61799772        1.00
  1.61827971        1.00
  1.61856175        1.00
  1.61884383        1.00
  1.61912597        1.00
  1.61940815        1.00
  1.61969039        1.00
  1.61997267        1.00
  1.62025500        1.00
  1.62053739        1.00
  1.62081982        1.00
  1.62110230        1.00
  1.62138483        1.00
  1.62166740        1.00
  1.62195003        1.00
  1.62223271        1.00
  1.62251544        1.00
  1.62279821        1.00
  1.62308104        1.00
  1.62336391        1.00
  1.62364683        1.00
  1.62392981        1.00
  1.62421283        1.00
  1.62449590        1.00
  1.62477902        1.00
  1.62506219        1.00
  1.62534541        1.00
  1.62562868        1.00
  1.62591200        1.00
  1.62619536        1.00
  1.62647878        1.00
  1.62676225        1.00
  1.62704576        1.00
  1.62732933        1.00
  1.62761294        1.00
  1.62789661        1.00
  1.62818032        1.00
  1.62846408        1.00
  1.62874789        1.00
  1.62903176        1.00
  1.62931567        1.00
  1.62959963        1.00
  1.62988364        1.00
  1.63016770        1.00
  1.63045181        1.00
  1.63073596        1.00
  1.63102017        1.00
  1.63130443        1.00
  1.63158874        1.00
  1.63187309        1.00
  1.63215750        0.00
  1.63244196        0.00
  1.63272646        0.00
  1.63301102        0.00
  1.63329562        0.00
  1.63358028        0.00
  1.63386498        0.00
  1.63414973        0.00
  1.63443454        0.00
  1.63471939        0.00
  1.63500429        0.00
  1.63528924        0.00
  1.63557425        0.00
  1.63585930        0.00
  1.63614440        0.00
  1.63642955        0.00
  1.63671475        0.00
  1.63700000        0.00
