# Demo Filter 10
# Wavelenght (um)   Transmission
  1.30800000        0.00
  1.30827987        0.00
  1.30855981        0.00
  1.30883980        0.00
  1.30911985        0.00
  1.30939997        0.00
  1.30968014        0.00
  1.30996037        0.00
  1.31024067        0.00
  1.31052102        0.00
  1.31080143        0.00
  1.31108190        0.00
  1.31136244        0.00
  1.31164303        0.00
  1.31192368        0.00
  1.31220440        0.00
  1.31248517        0.00
  1.31276600        0.00
  1.31304690        1.00
  1.31332785        1.00
  1.31360886        1.00
  1.31388994        1.00
  1.31417107        1.00
  1.31445226        1.00
  1.31473352        1.00
  1.31501483        1.00
  1.31529621        1.00
  1.31557764        1.00
  1.31585914        1.00
  1.31614069        1.00
  1.31642231        1.00
  1.31670398        1.00
  1.31698572        1.00
  1.31726752        1.00
  1.31754937        1.00
  1.31783129        1.00
  1.31811327        1.00
  1.31839530        1.00
  1.31867740        1.00
  1.31895956        1.00
  1.31924178        1.00
  1.31952406        1.00
  1.31980640        1.00
  1.32008880        1.00
  1.32037126        1.00
  1.32065378        1.00
  1.32093636        1.00
  1.32121900        1.00
  1.32150170        1.00
  1.32178446        1.00
  1.32206729        1.00
  1.32235017        1.00
  1.32263311        1.00
  1.32291612        1.00
  1.32319918        1.00
  1.32348231        1.00
  1.32376550        1.00
  1.32404874        1.00
  1.32433205        1.00
  1.32461542        1.00
  1.32489885        1.00
  1.32518234        1.00
  1.32546589        1.00
  1.32574950        1.00
  1.32603317        1.00
  1.32631690        1.00
  1.32660069        1.00
  1.32688455        1.00
  1.32716846        1.00
  1.32745244        1.00
  1.32773647        1.00
  1.32802057        1.00
  1.32830473        1.00
  1.32858894        1.00
  1.32887322        1.00
  1.32915756        1.00
  1.32944196        1.00
  1.32972643        1.00
  1.33001095        1.00
  1.33029553        1.00
  1.33058017        1.00
  1.33086488        1.00
  1.33114965        0.00
  1.33143447        0.00
  1.33171936        0.00
  1.33200431        0.00
  1.33228932        0.00
  1.33257439        0.00
  1.33285952        0.00
  1.33314471        0.00
  1.33342997        0.00
  1.33371528        0.00
  1.33400066        0.00
  1.33428610        0.00
  1.33457159        0.00
  1.33485715        0.00
  1.33514277        0.00
  1.33542845        0.00
  1.33571420        0.00
  1.33600000        0.00
