# Demo Filter  3
# Wavelenght (um)   Transmission
  1.17600000        0.00
  1.17627955        0.00
  1.17655916        0.00
  1.17683884        0.00
  1.17711859        0.00
  1.17739840        0.00
  1.17767828        0.00
  1.17795823        0.00
  1.17823824        0.00
  1.17851832        0.00
  1.17879846        0.00
  1.17907867        0.00
  1.17935895        0.00
  1.17963930        0.00
  1.17991971        0.00
  1.18020019        0.00
  1.18048074        0.00
  1.18076135        0.00
  1.18104203        1.00
  1.18132277        1.00
  1.18160358        1.00
  1.18188446        1.00
  1.18216541        1.00
  1.18244642        1.00
  1.18272750        1.00
  1.18300865        1.00
  1.18328986        1.00
  1.18357114        1.00
  1.18385249        1.00
  1.18413390        1.00
  1.18441538        1.00
  1.18469693        1.00
  1.18497854        1.00
  1.18526022        1.00
  1.18554197        1.00
  1.18582379        1.00
  1.18610567        1.00
  1.18638762        1.00
  1.18666963        1.00
  1.18695172        1.00
  1.18723387        1.00
  1.18751609        1.00
  1.18779837        1.00
  1.18808072        1.00
  1.18836314        1.00
  1.18864563        1.00
  1.18892818        1.00
  1.18921080        1.00
  1.18949349        1.00
  1.18977624        1.00
  1.19005906        1.00
  1.19034195        1.00
  1.19062491        1.00
  1.19090793        1.00
  1.19119102        1.00
  1.19147418        1.00
  1.19175741        1.00
  1.19204070        1.00
  1.19232406        1.00
  1.19260749        1.00
  1.19289098        1.00
  1.19317454        1.00
  1.19345817        1.00
  1.19374187        1.00
  1.19402563        1.00
  1.19430947        1.00
  1.19459337        1.00
  1.19487733        1.00
  1.19516137        1.00
  1.19544547        1.00
  1.19572964        1.00
  1.19601388        1.00
  1.19629818        1.00
  1.19658255        1.00
  1.19686699        1.00
  1.19715150        1.00
  1.19743607        1.00
  1.19772072        1.00
  1.19800543        1.00
  1.19829020        1.00
  1.19857505        1.00
  1.19885996        1.00
  1.19914494        0.00
  1.19942999        0.00
  1.19971511        0.00
  1.20000029        0.00
  1.20028555        0.00
  1.20057087        0.00
  1.20085625        0.00
  1.20114171        0.00
  1.20142723        0.00
  1.20171282        0.00
  1.20199848        0.00
  1.20228421        0.00
  1.20257001        0.00
  1.20285587        0.00
  1.20314180        0.00
  1.20342780        0.00
  1.20371387        0.00
  1.20400000        0.00
