# Demo Filter 15
# Wavelenght (um)   Transmission
  1.40200000        0.00
  1.40228007        0.00
  1.40256019        0.00
  1.40284038        0.00
  1.40312061        0.00
  1.40340090        0.00
  1.40368125        0.00
  1.40396166        0.00
  1.40424212        0.00
  1.40452264        0.00
  1.40480321        0.00
  1.40508384        0.00
  1.40536452        0.00
  1.40564526        0.00
  1.40592606        0.00
  1.40620692        0.00
  1.40648782        0.00
  1.40676879        0.00
  1.40704981        1.00
  1.40733089        1.00
  1.40761202        1.00
  1.40789321        1.00
  1.40817446        1.00
  1.40845576        1.00
  1.40873712        1.00
  1.40901854        1.00
  1.40930001        1.00
  1.40958153        1.00
  1.40986312        1.00
  1.41014476        1.00
  1.41042645        1.00
  1.41070821        1.00
  1.41099002        1.00
  1.41127188        1.00
  1.41155380        1.00
  1.41183578        1.00
  1.41211781        1.00
  1.41239990        1.00
  1.41268205        1.00
  1.41296425        1.00
  1.41324651        1.00
  1.41352883        1.00
  1.41381120        1.00
  1.41409363        1.00
  1.41437611        1.00
  1.41465865        1.00
  1.41494125        1.00
  1.41522391        1.00
  1.41550662        1.00
  1.41578938        1.00
  1.41607221        1.00
  1.41635509        1.00
  1.41663803        1.00
  1.41692102        1.00
  1.41720407        1.00
  1.41748717        1.00
  1.41777034        1.00
  1.41805356        1.00
  1.41833683        1.00
  1.41862017        1.00
  1.41890355        1.00
  1.41918700        1.00
  1.41947050        1.00
  1.41975406        1.00
  1.42003768        1.00
  1.42032135        1.00
  1.42060508        1.00
  1.42088886        1.00
  1.42117271        1.00
  1.42145661        1.00
  1.42174056        1.00
  1.42202457        1.00
  1.42230864        1.00
  1.42259277        1.00
  1.42287695        1.00
  1.42316119        1.00
  1.42344549        1.00
  1.42372984        1.00
  1.42401425        1.00
  1.42429872        1.00
  1.42458324        1.00
  1.42486782        1.00
  1.42515246        0.00
  1.42543715        0.00
  1.42572190        0.00
  1.42600671        0.00
  1.42629158        0.00
  1.42657650        0.00
  1.42686148        0.00
  1.42714651        0.00
  1.42743160        0.00
  1.42771675        0.00
  1.42800196        0.00
  1.42828722        0.00
  1.42857254        0.00
  1.42885792        0.00
  1.42914335        0.00
  1.42942885        0.00
  1.42971439        0.00
  1.43000000        0.00
