# Demo Filter 19
# Wavelenght (um)   Transmission
  1.47800000        0.00
  1.47828021        0.00
  1.47856047        0.00
  1.47884079        0.00
  1.47912116        0.00
  1.47940158        0.00
  1.47968205        0.00
  1.47996258        0.00
  1.48024316        0.00
  1.48052380        0.00
  1.48080448        0.00
  1.48108522        0.00
  1.48136602        0.00
  1.48164687        0.00
  1.48192777        0.00
  1.48220872        0.00
  1.48248973        0.00
  1.48277079        0.00
  1.48305190        1.00
  1.48333307        1.00
  1.48361429        1.00
  1.48389556        1.00
  1.48417689        1.00
  1.48445827        1.00
  1.48473970        1.00
  1.48502119        1.00
  1.48530273        1.00
  1.48558432        1.00
  1.48586597        1.00
  1.48614767        1.00
  1.48642943        1.00
  1.48671123        1.00
  1.48699309        1.00
  1.48727501        1.00
  1.48755698        1.00
  1.48783900        1.00
  1.48812107        1.00
  1.48840320        1.00
  1.48868538        1.00
  1.48896762        1.00
  1.48924990        1.00
  1.48953225        1.00
  1.48981464        1.00
  1.49009709        1.00
  1.49037959        1.00
  1.49066215        1.00
  1.49094476        1.00
  1.49122742        1.00
  1.49151014        1.00
  1.49179291        1.00
  1.49207573        1.00
  1.49235861        1.00
  1.49264154        1.00
  1.49292453        1.00
  1.49320757        1.00
  1.49349066        1.00
  1.49377380        1.00
  1.49405700        1.00
  1.49434026        1.00
  1.49462356        1.00
  1.49490693        1.00
  1.49519034        1.00
  1.49547381        1.00
  1.49575733        1.00
  1.49604091        1.00
  1.49632454        1.00
  1.49660822        1.00
  1.49689196        1.00
  1.49717575        1.00
  1.49745959        1.00
  1.49774349        1.00
  1.49802744        1.00
  1.49831145        1.00
  1.49859551        1.00
  1.49887962        1.00
  1.49916379        1.00
  1.49944801        1.00
  1.49973229        1.00
  1.50001662        1.00
  1.50030100        1.00
  1.50058544        1.00
  1.50086993        1.00
  1.50115447        0.00
  1.50143907        0.00
  1.50172372        0.00
  1.50200843        0.00
  1.50229319        0.00
  1.50257801        0.00
  1.50286288        0.00
  1.50314780        0.00
  1.50343278        0.00
  1.50371781        0.00
  1.50400289        0.00
  1.50428803        0.00
  1.50457322        0.00
  1.50485847        0.00
  1.50514377        0.00
  1.50542913        0.00
  1.50571454        0.00
  1.50600000        0.00
