# Demo Filter 29
# Wavelenght (um)   Transmission
  1.66600000        0.00
  1.66628050        0.00
  1.66656105        0.00
  1.66684165        0.00
  1.66712229        0.00
  1.66740298        0.00
  1.66768372        0.00
  1.66796450        0.00
  1.66824533        0.00
  1.66852621        0.00
  1.66880714        0.00
  1.66908812        0.00
  1.66936914        0.00
  1.66965021        0.00
  1.66993132        0.00
  1.67021248        0.00
  1.67049370        0.00
  1.67077495        0.00
  1.67105626        1.00
  1.67133761        1.00
  1.67161901        1.00
  1.67190046        1.00
  1.67218195        1.00
  1.67246350        1.00
  1.67274509        1.00
  1.67302672        1.00
  1.67330841        1.00
  1.67359014        1.00
  1.67387192        1.00
  1.67415375        1.00
  1.67443562        1.00
  1.67471754        1.00
  1.67499951        1.00
  1.67528153        1.00
  1.67556359        1.00
  1.67584570        1.00
  1.67612786        1.00
  1.67641007        1.00
  1.67669232        1.00
  1.67697463        1.00
  1.67725698        1.00
  1.67753937        1.00
  1.67782182        1.00
  1.67810431        1.00
  1.67838685        1.00
  1.67866944        1.00
  1.67895207        1.00
  1.67923475        1.00
  1.67951748        1.00
  1.67980026        1.00
  1.68008308        1.00
  1.68036596        1.00
  1.68064888        1.00
  1.68093184        1.00
  1.68121486        1.00
  1.68149792        1.00
  1.68178103        1.00
  1.68206419        1.00
  1.68234740        1.00
  1.68263065        1.00
  1.68291395        1.00
  1.68319730        1.00
  1.68348070        1.00
  1.68376415        1.00
  1.68404764        1.00
  1.68433118        1.00
  1.68461477        1.00
  1.68489840        1.00
  1.68518208        1.00
  1.68546582        1.00
  1.68574959        1.00
  1.68603342        1.00
  1.68631730        1.00
  1.68660122        1.00
  1.68688519        1.00
  1.68716921        1.00
  1.68745327        1.00
  1.68773739        1.00
  1.68802155        1.00
  1.68830576        1.00
  1.68859001        1.00
  1.68887432        1.00
  1.68915867        0.00
  1.68944307        0.00
  1.68972752        0.00
  1.69001202        0.00
  1.69029656        0.00
  1.69058115        0.00
  1.69086579        0.00
  1.69115048        0.00
  1.69143522        0.00
  1.69172000        0.00
  1.69200483        0.00
  1.69228971        0.00
  1.69257464        0.00
  1.69285962        0.00
  1.69314464        0.00
  1.69342971        0.00
  1.69371483        0.00
  1.69400000        0.00
