# Demo Filter 21
# Wavelenght (um)   Transmission
  1.51500000        0.00
  1.51528027        0.00
  1.51556060        0.00
  1.51584097        0.00
  1.51612140        0.00
  1.51640188        0.00
  1.51668241        0.00
  1.51696300        0.00
  1.51724363        0.00
  1.51752432        0.00
  1.51780506        0.00
  1.51808585        0.00
  1.51836669        0.00
  1.51864759        0.00
  1.51892854        0.00
  1.51920953        0.00
  1.51949059        0.00
  1.51977169        0.00
  1.52005284        1.00
  1.52033405        1.00
  1.52061531        1.00
  1.52089662        1.00
  1.52117798        1.00
  1.52145940        1.00
  1.52174087        1.00
  1.52202239        1.00
  1.52230396        1.00
  1.52258558        1.00
  1.52286726        1.00
  1.52314898        1.00
  1.52343076        1.00
  1.52371260        1.00
  1.52399448        1.00
  1.52427642        1.00
  1.52455841        1.00
  1.52484045        1.00
  1.52512254        1.00
  1.52540468        1.00
  1.52568688        1.00
  1.52596913        1.00
  1.52625143        1.00
  1.52653379        1.00
  1.52681619        1.00
  1.52709865        1.00
  1.52738116        1.00
  1.52766372        1.00
  1.52794634        1.00
  1.52822901        1.00
  1.52851173        1.00
  1.52879450        1.00
  1.52907732        1.00
  1.52936020        1.00
  1.52964313        1.00
  1.52992611        1.00
  1.53020914        1.00
  1.53049223        1.00
  1.53077537        1.00
  1.53105856        1.00
  1.53134180        1.00
  1.53162510        1.00
  1.53190845        1.00
  1.53219185        1.00
  1.53247530        1.00
  1.53275880        1.00
  1.53304236        1.00
  1.53332597        1.00
  1.53360963        1.00
  1.53389335        1.00
  1.53417712        1.00
  1.53446094        1.00
  1.53474481        1.00
  1.53502874        1.00
  1.53531271        1.00
  1.53559674        1.00
  1.53588083        1.00
  1.53616496        1.00
  1.53644915        1.00
  1.53673339        1.00
  1.53701768        1.00
  1.53730203        1.00
  1.53758643        1.00
  1.53787088        1.00
  1.53815538        0.00
  1.53843994        0.00
  1.53872455        0.00
  1.53900921        0.00
  1.53929392        0.00
  1.53957869        0.00
  1.53986351        0.00
  1.54014838        0.00
  1.54043330        0.00
  1.54071828        0.00
  1.54100331        0.00
  1.54128839        0.00
  1.54157353        0.00
  1.54185872        0.00
  1.54214396        0.00
  1.54242925        0.00
  1.54271460        0.00
  1.54300000        0.00
