# Demo Filter  6
# Wavelenght (um)   Transmission
  1.23300000        0.00
  1.23327970        0.00
  1.23355946        0.00
  1.23383928        0.00
  1.23411917        0.00
  1.23439912        0.00
  1.23467913        0.00
  1.23495921        0.00
  1.23523935        0.00
  1.23551955        0.00
  1.23579982        0.00
  1.23608015        0.00
  1.23636055        0.00
  1.23664101        0.00
  1.23692153        0.00
  1.23720212        0.00
  1.23748276        0.00
  1.23776348        0.00
  1.23804426        1.00
  1.23832510        1.00
  1.23860600        1.00
  1.23888697        1.00
  1.23916800        1.00
  1.23944910        1.00
  1.23973026        1.00
  1.24001148        1.00
  1.24029277        1.00
  1.24057412        1.00
  1.24085553        1.00
  1.24113701        1.00
  1.24141855        1.00
  1.24170016        1.00
  1.24198183        1.00
  1.24226356        1.00
  1.24254536        1.00
  1.24282722        1.00
  1.24310915        1.00
  1.24339114        1.00
  1.24367319        1.00
  1.24395531        1.00
  1.24423749        1.00
  1.24451973        1.00
  1.24480204        1.00
  1.24508442        1.00
  1.24536686        1.00
  1.24564936        1.00
  1.24593192        1.00
  1.24621455        1.00
  1.24649725        1.00
  1.24678001        1.00
  1.24706283        1.00
  1.24734571        1.00
  1.24762867        1.00
  1.24791168        1.00
  1.24819476        1.00
  1.24847790        1.00
  1.24876111        1.00
  1.24904438        1.00
  1.24932772        1.00
  1.24961112        1.00
  1.24989458        1.00
  1.25017811        1.00
  1.25046170        1.00
  1.25074536        1.00
  1.25102908        1.00
  1.25131287        1.00
  1.25159672        1.00
  1.25188064        1.00
  1.25216462        1.00
  1.25244866        1.00
  1.25273277        1.00
  1.25301694        1.00
  1.25330118        1.00
  1.25358548        1.00
  1.25386984        1.00
  1.25415428        1.00
  1.25443877        1.00
  1.25472333        1.00
  1.25500795        1.00
  1.25529264        1.00
  1.25557740        1.00
  1.25586221        1.00
  1.25614710        0.00
  1.25643204        0.00
  1.25671706        0.00
  1.25700213        0.00
  1.25728727        0.00
  1.25757248        0.00
  1.25785775        0.00
  1.25814309        0.00
  1.25842849        0.00
  1.25871395        0.00
  1.25899948        0.00
  1.25928507        0.00
  1.25957073        0.00
  1.25985646        0.00
  1.26014225        0.00
  1.26042810        0.00
  1.26071402        0.00
  1.26100000        0.00
