# Demo Filter  8
# Wavelenght (um)   Transmission
  1.27000000        0.00
  1.27027979        0.00
  1.27055963        0.00
  1.27083954        0.00
  1.27111952        0.00
  1.27139955        0.00
  1.27167964        0.00
  1.27195980        0.00
  1.27224002        0.00
  1.27252030        0.00
  1.27280064        0.00
  1.27308104        0.00
  1.27336151        0.00
  1.27364203        0.00
  1.27392262        0.00
  1.27420327        0.00
  1.27448399        0.00
  1.27476476        0.00
  1.27504560        1.00
  1.27532649        1.00
  1.27560745        1.00
  1.27588848        1.00
  1.27616956        1.00
  1.27645071        1.00
  1.27673191        1.00
  1.27701318        1.00
  1.27729451        1.00
  1.27757591        1.00
  1.27785736        1.00
  1.27813888        1.00
  1.27842046        1.00
  1.27870210        1.00
  1.27898380        1.00
  1.27926557        1.00
  1.27954740        1.00
  1.27982929        1.00
  1.28011124        1.00
  1.28039325        1.00
  1.28067533        1.00
  1.28095747        1.00
  1.28123967        1.00
  1.28152193        1.00
  1.28180425        1.00
  1.28208664        1.00
  1.28236909        1.00
  1.28265160        1.00
  1.28293418        1.00
  1.28321681        1.00
  1.28349951        1.00
  1.28378227        1.00
  1.28406509        1.00
  1.28434798        1.00
  1.28463093        1.00
  1.28491393        1.00
  1.28519701        1.00
  1.28548014        1.00
  1.28576334        1.00
  1.28604660        1.00
  1.28632992        1.00
  1.28661330        1.00
  1.28689675        1.00
  1.28718026        1.00
  1.28746383        1.00
  1.28774746        1.00
  1.28803116        1.00
  1.28831492        1.00
  1.28859874        1.00
  1.28888262        1.00
  1.28916657        1.00
  1.28945058        1.00
  1.28973465        1.00
  1.29001878        1.00
  1.29030298        1.00
  1.29058724        1.00
  1.29087156        1.00
  1.29115595        1.00
  1.29144039        1.00
  1.29172490        1.00
  1.29200947        1.00
  1.29229411        1.00
  1.29257881        1.00
  1.29286357        1.00
  1.29314839        0.00
  1.29343328        0.00
  1.29371823        0.00
  1.29400324        0.00
  1.29428831        0.00
  1.29457345        0.00
  1.29485865        0.00
  1.29514391        0.00
  1.29542924        0.00
  1.29571463        0.00
  1.29600008        0.00
  1.29628559        0.00
  1.29657117        0.00
  1.29685681        0.00
  1.29714251        0.00
  1.29742828        0.00
  1.29771411        0.00
  1.29800000        0.00
