# Demo Filter  2
# Wavelenght (um)   Transmission
  1.15800000        0.00
  1.15827950        0.00
  1.15855906        0.00
  1.15883869        0.00
  1.15911839        0.00
  1.15939816        0.00
  1.15967799        0.00
  1.15995789        0.00
  1.16023786        0.00
  1.16051790        0.00
  1.16079801        0.00
  1.16107818        0.00
  1.16135842        0.00
  1.16163872        0.00
  1.16191910        0.00
  1.16219954        0.00
  1.16248005        0.00
  1.16276063        0.00
  1.16304128        1.00
  1.16332199        1.00
  1.16360277        1.00
  1.16388362        1.00
  1.16416454        1.00
  1.16444552        1.00
  1.16472658        1.00
  1.16500770        1.00
  1.16528888        1.00
  1.16557014        1.00
  1.16585146        1.00
  1.16613286        1.00
  1.16641432        1.00
  1.16669584        1.00
  1.16697744        1.00
  1.16725910        1.00
  1.16754083        1.00
  1.16782263        1.00
  1.16810450        1.00
  1.16838644        1.00
  1.16866844        1.00
  1.16895051        1.00
  1.16923265        1.00
  1.16951486        1.00
  1.16979714        1.00
  1.17007948        1.00
  1.17036189        1.00
  1.17064437        1.00
  1.17092692        1.00
  1.17120954        1.00
  1.17149222        1.00
  1.17177498        1.00
  1.17205780        1.00
  1.17234069        1.00
  1.17262365        1.00
  1.17290667        1.00
  1.17318977        1.00
  1.17347293        1.00
  1.17375616        1.00
  1.17403946        1.00
  1.17432283        1.00
  1.17460627        1.00
  1.17488977        1.00
  1.17517334        1.00
  1.17545699        1.00
  1.17574070        1.00
  1.17602448        1.00
  1.17630832        1.00
  1.17659224        1.00
  1.17687622        1.00
  1.17716028        1.00
  1.17744440        1.00
  1.17772859        1.00
  1.17801285        1.00
  1.17829717        1.00
  1.17858157        1.00
  1.17886603        1.00
  1.17915057        1.00
  1.17943517        1.00
  1.17971984        1.00
  1.18000458        1.00
  1.18028938        1.00
  1.18057426        1.00
  1.18085921        1.00
  1.18114422        0.00
  1.18142930        0.00
  1.18171446        0.00
  1.18199968        0.00
  1.18228497        0.00
  1.18257032        0.00
  1.18285575        0.00
  1.18314125        0.00
  1.18342681        0.00
  1.18371245        0.00
  1.18399815        0.00
  1.18428392        0.00
  1.18456976        0.00
  1.18485567        0.00
  1.18514165        0.00
  1.18542770        0.00
  1.18571381        0.00
  1.18600000        0.00
