# Demo Filter 13
# Wavelenght (um)   Transmission
  1.36500000        0.00
  1.36528000        0.00
  1.36556005        0.00
  1.36584016        0.00
  1.36612033        0.00
  1.36640055        0.00
  1.36668083        0.00
  1.36696117        0.00
  1.36724157        0.00
  1.36752203        0.00
  1.36780254        0.00
  1.36808311        0.00
  1.36836374        0.00
  1.36864442        0.00
  1.36892516        0.00
  1.36920596        0.00
  1.36948682        0.00
  1.36976774        0.00
  1.37004871        1.00
  1.37032974        1.00
  1.37061083        1.00
  1.37089198        1.00
  1.37117318        1.00
  1.37145444        1.00
  1.37173576        1.00
  1.37201714        1.00
  1.37229857        1.00
  1.37258007        1.00
  1.37286162        1.00
  1.37314322        1.00
  1.37342489        1.00
  1.37370661        1.00
  1.37398839        1.00
  1.37427023        1.00
  1.37455213        1.00
  1.37483408        1.00
  1.37511610        1.00
  1.37539817        1.00
  1.37568030        1.00
  1.37596248        1.00
  1.37624473        1.00
  1.37652703        1.00
  1.37680939        1.00
  1.37709180        1.00
  1.37737428        1.00
  1.37765681        1.00
  1.37793941        1.00
  1.37822205        1.00
  1.37850476        1.00
  1.37878753        1.00
  1.37907035        1.00
  1.37935323        1.00
  1.37963617        1.00
  1.37991917        1.00
  1.38020223        1.00
  1.38048534        1.00
  1.38076851        1.00
  1.38105174        1.00
  1.38133503        1.00
  1.38161837        1.00
  1.38190178        1.00
  1.38218524        1.00
  1.38246876        1.00
  1.38275234        1.00
  1.38303598        1.00
  1.38331967        1.00
  1.38360342        1.00
  1.38388724        1.00
  1.38417110        1.00
  1.38445503        1.00
  1.38473902        1.00
  1.38502306        1.00
  1.38530717        1.00
  1.38559133        1.00
  1.38587554        1.00
  1.38615982        1.00
  1.38644416        1.00
  1.38672855        1.00
  1.38701300        1.00
  1.38729751        1.00
  1.38758208        1.00
  1.38786671        1.00
  1.38815140        0.00
  1.38843614        0.00
  1.38872094        0.00
  1.38900580        0.00
  1.38929072        0.00
  1.38957570        0.00
  1.38986074        0.00
  1.39014583        0.00
  1.39043099        0.00
  1.39071620        0.00
  1.39100147        0.00
  1.39128680        0.00
  1.39157218        0.00
  1.39185763        0.00
  1.39214314        0.00
  1.39242870        0.00
  1.39271432        0.00
  1.39300000        0.00
