# Demo Filter  4
# Wavelenght (um)   Transmission
  1.19500000        0.00
  1.19527960        0.00
  1.19555926        0.00
  1.19583899        0.00
  1.19611879        0.00
  1.19639865        0.00
  1.19667857        0.00
  1.19695856        0.00
  1.19723862        0.00
  1.19751874        0.00
  1.19779893        0.00
  1.19807918        0.00
  1.19835950        0.00
  1.19863989        0.00
  1.19892034        0.00
  1.19920085        0.00
  1.19948143        0.00
  1.19976208        0.00
  1.20004279        1.00
  1.20032357        1.00
  1.20060441        1.00
  1.20088532        1.00
  1.20116630        1.00
  1.20144734        1.00
  1.20172845        1.00
  1.20200962        1.00
  1.20229086        1.00
  1.20257216        1.00
  1.20285353        1.00
  1.20313497        1.00
  1.20341647        1.00
  1.20369804        1.00
  1.20397967        1.00
  1.20426137        1.00
  1.20454314        1.00
  1.20482497        1.00
  1.20510687        1.00
  1.20538883        1.00
  1.20567086        1.00
  1.20595295        1.00
  1.20623511        1.00
  1.20651734        1.00
  1.20679963        1.00
  1.20708199        1.00
  1.20736442        1.00
  1.20764691        1.00
  1.20792947        1.00
  1.20821209        1.00
  1.20849478        1.00
  1.20877754        1.00
  1.20906036        1.00
  1.20934325        1.00
  1.20962620        1.00
  1.20990922        1.00
  1.21019231        1.00
  1.21047546        1.00
  1.21075868        1.00
  1.21104197        1.00
  1.21132532        1.00
  1.21160874        1.00
  1.21189222        1.00
  1.21217577        1.00
  1.21245939        1.00
  1.21274307        1.00
  1.21302682        1.00
  1.21331064        1.00
  1.21359452        1.00
  1.21387847        1.00
  1.21416248        1.00
  1.21444657        1.00
  1.21473071        1.00
  1.21501493        1.00
  1.21529921        1.00
  1.21558356        1.00
  1.21586797        1.00
  1.21615245        1.00
  1.21643700        1.00
  1.21672161        1.00
  1.21700630        1.00
  1.21729104        1.00
  1.21757586        1.00
  1.21786074        1.00
  1.21814568        0.00
  1.21843070        0.00
  1.21871578        0.00
  1.21900093        0.00
  1.21928614        0.00
  1.21957142        0.00
  1.21985677        0.00
  1.22014218        0.00
  1.22042766        0.00
  1.22071321        0.00
  1.22099883        0.00
  1.22128451        0.00
  1.22157026        0.00
  1.22185607        0.00
  1.22214195        0.00
  1.22242790        0.00
  1.22271392        0.00
  1.22300000        0.00
