# Demo Filter  1
# Wavelenght (um)   Transmission
  1.13900000        0.00
  1.13927944        0.00
  1.13955895        0.00
  1.13983853        0.00
  1.14011818        0.00
  1.14039790        0.00
  1.14067768        0.00
  1.14095754        0.00
  1.14123746        0.00
  1.14151745        0.00
  1.14179751        0.00
  1.14207764        0.00
  1.14235783        0.00
  1.14263810        0.00
  1.14291843        0.00
  1.14319884        0.00
  1.14347931        0.00
  1.14375985        0.00
  1.14404046        1.00
  1.14432114        1.00
  1.14460189        1.00
  1.14488270        1.00
  1.14516359        1.00
  1.14544454        1.00
  1.14572557        1.00
  1.14600666        1.00
  1.14628782        1.00
  1.14656905        1.00
  1.14685035        1.00
  1.14713172        1.00
  1.14741315        1.00
  1.14769466        1.00
  1.14797624        1.00
  1.14825788        1.00
  1.14853959        1.00
  1.14882138        1.00
  1.14910323        1.00
  1.14938515        1.00
  1.14966714        1.00
  1.14994920        1.00
  1.15023133        1.00
  1.15051352        1.00
  1.15079579        1.00
  1.15107813        1.00
  1.15136053        1.00
  1.15164301        1.00
  1.15192555        1.00
  1.15220816        1.00
  1.15249085        1.00
  1.15277360        1.00
  1.15305642        1.00
  1.15333931        1.00
  1.15362227        1.00
  1.15390530        1.00
  1.15418840        1.00
  1.15447157        1.00
  1.15475481        1.00
  1.15503811        1.00
  1.15532149        1.00
  1.15560494        1.00
  1.15588845        1.00
  1.15617204        1.00
  1.15645569        1.00
  1.15673942        1.00
  1.15702321        1.00
  1.15730708        1.00
  1.15759101        1.00
  1.15787501        1.00
  1.15815909        1.00
  1.15844323        1.00
  1.15872744        1.00
  1.15901172        1.00
  1.15929608        1.00
  1.15958050        1.00
  1.15986499        1.00
  1.16014955        1.00
  1.16043418        1.00
  1.16071888        1.00
  1.16100365        1.00
  1.16128849        1.00
  1.16157340        1.00
  1.16185838        1.00
  1.16214343        0.00
  1.16242855        0.00
  1.16271374        0.00
  1.16299900        0.00
  1.16328433        0.00
  1.16356973        0.00
  1.16385520        0.00
  1.16414074        0.00
  1.16442635        0.00
  1.16471203        0.00
  1.16499778        0.00
  1.16528360        0.00
  1.16556949        0.00
  1.16585546        0.00
  1.16614149        0.00
  1.16642759        0.00
  1.16671376        0.00
  1.16700000        0.00
